ID,Lat,Lon,Lower depth (cm),Upper depth (cm),clay,ph,sand,silt
239,-11.3038888888888,-41.8558333333333,20.0,10.0,,,,
240,-11.3038888888888,-41.8558333333333,30.0,20.0,,,,
241,-11.3038888888888,-41.8558333333333,5.0,0.0,,,,
242,-11.3038888888888,-41.8558333333333,10.0,5.0,,,,
243,-11.3038888888888,-41.8558333333333,20.0,10.0,,,,
244,-11.3038888888888,-41.8558333333333,30.0,20.0,,,,
245,-28.2408694087581,29.0350363733756,5.0,0.0,25.2,6.2,53.4,21.4
246,-27.5473124732217,27.1997562176251,5.0,0.0,22.0,6.8,67.9,10.1
247,-29.2024381136256,27.0043982750227,5.0,0.0,24.4,6.7,60.4,15.3
248,-24.81,149.8,10.0,0.0,32.599999999999994,6.7,50.650000000000006,16.65
249,-24.81,149.8,20.0,10.0,33.2,6.800000000000001,49.75,17.0
250,-24.81,149.8,30.0,20.0,34.5,6.9,48.3,17.2
251,-24.81,149.8,40.0,30.0,40.5,7.1,43.3,16.2
252,38.2677300445069,100.901884663675,20.0,0.0,18.575000000000003,7.675,37.975,43.45
253,38.2677300445069,100.901884663675,50.0,20.0,21.733333333333334,7.766666666666666,35.96666666666667,42.233333333333334
254,38.2677300445069,100.901884663675,100.0,50.0,21.340000000000003,7.800000000000001,35.2,43.44
255,38.2677300445069,100.901884663675,150.0,100.0,21.1,7.9,35.2,43.7
256,38.2677300445069,100.901884663675,20.0,0.0,18.575000000000003,7.675,37.975,43.45
257,38.2677300445069,100.901884663675,50.0,20.0,21.733333333333334,7.766666666666666,35.96666666666667,42.233333333333334
258,38.2677300445069,100.901884663675,100.0,50.0,21.340000000000003,7.800000000000001,35.2,43.44
259,38.2677300445069,100.901884663675,150.0,100.0,21.1,7.9,35.2,43.7
260,38.6880834526223,100.640772098717,20.0,0.0,17.15,8.275,47.575,35.3
261,38.6880834526223,100.640772098717,50.0,20.0,18.166666666666664,8.433333333333334,46.46666666666666,35.33333333333333
262,38.6880834526223,100.640772098717,100.0,50.0,18.6,8.5,46.379999999999995,35.02
